id,sourceGroup,sourceIndex,originalType,finalType,finalTypeCn,stem,optionA,optionB,optionC,optionD,optionE,optionF,optionG,answer,analysis,reviewStatus,note,deleted
PV-020,选择判断题,20,单选题,single,单选题,下列哪种光伏组件在弱光条件下也能发电?,单晶硅,多晶硅,非晶硅,多元化合物,,,,C,,已初审,,否
PV-021,选择判断题,21,单选题,single,单选题,光伏电站工作票使用前必须统一格式、按顺序编号，一个年度之内( ),可以重复编号,不能有重复编号,无编号要求,可随意编号,,,,B,,已初审,,否
PV-022,选择判断题,22,单选题,single,单选题,倒闸操作应将电气设备从一种工作状态转换到另一种状态，电气设备状态不包括( ),运行,热备用,冷备用,断电,,,,D,,已初审,,否
PV-023,选择判断题,23,单选题,single,单选题,光伏电站交接班时，遇到哪种情况不得进行交接班( ),正常巡检,处理事故或重要操作,资料核对,工具交接,,,,B,,已初审,,否
PV-024,选择判断题,24,单选题,single,单选题,设备定期检查应做到 “四到”，以下哪项不属于 “四到”( ),看到,听到,猜到,嗅到,,,,C,,已初审,,否
PV-025,选择判断题,25,单选题,single,单选题,新入职人员必须经过三级安全教育，考试合格后方可上岗，三级不包括( ),公司,部门,班组,行业,,,,D,,已初审,,否
PV-026,选择判断题,26,单选题,single,单选题,光伏电站消防第一负责人通常是( ),值班长,运维人员,站长,调度员,,,,C,,已初审,,否
PV-027,选择判断题,27,单选题,single,单选题,操作票应使用设备双重名称，指的是( ),设备名称和型号,设备名称和编号,设备编号和型号,设备名称和厂家,,,,B,,已初审,,否
PV-028,选择判断题,28,单选题,single,单选题,光伏电站巡回检查应做到要求，不包括( ),慢走,细看,认真听,快查,,,,D,,已初审,,否
PV-029,选择判断题,29,单选题,single,单选题,接受调度命令时，除加减出力和调整电压外，其他命令必须( ),口头记录,书面记录,无需记录,事后补记,,,,B,,已初审,,否
PV-030,选择判断题,30,单选题,multiple,多选题,光伏电站生产管理中的 “两票” 指的是( ),工作票,操作票,巡检票,检修票,,,,AB,,需人工核对,【疑似题型异常，待人工核对】；原题标为单选，但‘两票’应为工作票+操作票，调整为多选，答案 AB；与第99题重复，保留第30题，删除第99题。,否
PV-031,选择判断题,31,单选题,single,单选题,光伏电站工作票原则上应在工作开始前( )送达光伏电站值班室。,4 小时,一天,两天,当班前,,,,B,,已初审,,否
PV-032,选择判断题,32,单选题,single,单选题,光伏电站倒闸操作中，特别重要和复杂的倒闸操作应由( )操作，值长或值班负责人监护。,实习值班员,熟练值班员,检修人员,外委人员,,,,B,,已初审,,否
PV-033,选择判断题,33,单选题,single,单选题,光伏电站在接受调度命令时，除( )命令外，均应对调度命令作书面记录。,加减出力和调整电压,设备停运,事故处理,检修申请,,,,A,,已初审,,否
PV-034,选择判断题,34,单选题,single,单选题,中控室值班人员应至少每( )对后台监控全站设备运行情况进行一次查看。,30 分钟,1 小时,2 小时,4 小时,,,,B,,已初审,,否
PV-035,选择判断题,35,单选题,single,单选题,光伏组件红外热成像扫描的巡检周期为( )。,每季度,每半年,每年,每两年,,,,C,,需人工核对,红外热成像巡检周期不同规程/企业制度可能不同；本版暂取每年，需以课程口径为准。,否
PV-036,选择判断题,36,单选题,single,单选题,逆变器除尘维护的周期为( )。,1 个月,4 个月,6 个月,12 个月,,,,C,,已初审,,否
PV-037,选择判断题,37,单选题,single,单选题,主变压器运行中接地电流一般不大于( )。,0.1A,0.5A,1A,5A,,,,A,,已初审,,否
PV-038,选择判断题,38,单选题,single,单选题,新上岗人员必须经过( )安全教育并考试合格方可上岗。,一级,二级,三级,四级,,,,C,,已初审,,否
PV-039,选择判断题,39,单选题,single,单选题,事故处理或重要操作进行时，( )交接班。,可以,不得,经批准可,视情况,,,,B,,已初审,,否
PV-040,选择判断题,40,单选题,single,单选题,操作票必须使用设备( )，且接令过程需录音。,名称,编号,双重名称,位置名称,,,,C,,已初审,,否
PV-041,选择判断题,41,单选题,single,单选题,日巡检中计算机监控系统每日巡检( )。,1 次,2 次,3 次,4 次,,,,A,,需人工核对,每日巡检次数可能受站内制度影响；暂按每日 1 次处理。,否
PV-042,选择判断题,42,单选题,single,单选题,高压开关柜绝缘遥测应使用( )摇表。,500V,1000V,2500V,5000V,,,,C,,已初审,,否
PV-043,选择判断题,43,单选题,single,单选题,电缆头定期检查的周期为( )。,3 个月,6 个月,9 个月,12 个月,,,,B,,已初审,,否
PV-044,选择判断题,44,单选题,single,单选题,智能营维云中心的五点四段损耗模型中，四段损耗不包含以下哪项（）,组串环境及失配损耗,逆变器损耗,箱变内部损耗,并网损耗,,,,C,,已初审,,否
PV-045,选择判断题,45,单选题,single,单选题,智能光伏电站监控系统可实现精细化监控，其最小监控粒度为（）,子阵级,组串级,逆变器级,设备级,,,,B,,已初审,,否
PV-046,选择判断题,46,单选题,single,单选题,智能营维分析系统中，单 MW 发电量离散率正常优秀标准为（）,＜5%,5%~10%,10%~20%,＞20%,,,,A,,已初审,,否
PV-047,选择判断题,47,单选题,single,单选题,生产管理系统中，操作票主要用于（）,设备检修作业许可,规范电气倒闸操作,缺陷登记处理,交接班记录,,,,B,,已初审,,否
PV-048,选择判断题,48,单选题,single,单选题,智能营维云中心数据存储可支持电站数据长达（）,10 年,15 年,20 年,25 年,,,,D,,需人工核对,数据存储年限属于平台功能宣传口径；暂按 25 年处理，需核对课程材料。,否
PV-049,选择判断题,49,单选题,single,单选题,智能光伏电站监控系统接收调度指令后，可实现（）自动调节,温度与湿度,有功与无功功率,辐照强度,组件倾角,,,,B,,已初审,,否
PV-050,选择判断题,50,单选题,single,单选题,电站生产运行日报中，等效利用小时数计算公式为（）,实际总发电量 ÷ 装机额定容量,理论发电量 ÷ 装机额定容量,上网电量 ÷ 理论发电量,实际发电量 ÷ 理论发电量,,,,A,,已初审,,否
PV-051,选择判断题,51,单选题,multiple,多选题,营维分析系统集团大屏可展示的核心 KPI 包括（）,累计发电量,电站 PR 值,两票闭环率,设备内部结构图纸,,,,ABC,,需人工核对,原题标为单选，但题干为‘核心 KPI 包括’，A/B/C 均合理，调整为多选，答案 ABC。；原题标为单选，但 A/B/C 均属于集团大屏核心 KPI，已调整为多选。,否
PV-052,选择判断题,52,单选题,single,单选题,关于光伏组件隐裂故障，下列说法正确的是( ),隐裂会导致组件输出电压明显下降,隐裂可通过肉眼直接观察识别,隐裂在EL成像中可被检测出来,隐裂不会影响组件的转换效率,,,,C,,已初审,,否
PV-053,选择判断题,53,单选题,single,单选题,光伏组件发生热斑效应时，为防止其损坏，通常在组件正负极间并联( ),稳压二极管,旁路二极管,肖特基二极管,瞬态电压抑制二极管,,,,B,,已初审,,否
PV-054,选择判断题,54,单选题,single,单选题,关于PID(电位诱发衰减)现象的产生机理，下列说法错误的是( ),水汽进入组件导致EVA水解产生醋酸,醋酸与玻璃中析出的碱反应生成钠离子,钠离子在正偏压作用下向电池片表面移动,PID会降低光伏组件性能,,,,C,,已初审,,否
PV-055,选择判断题,55,单选题,single,单选题,关于光伏组件接线盒湿热失效，以下哪种现象不属于常见失效表现( ),盒体碎裂,盒体与背板脱落,输出功率短暂上升,电气连接不可靠,,,,C,,已初审,,否
PV-056,选择判断题,56,单选题,single,单选题,以下哪项不是导致光伏组件接线盒进水的常见原因( ),密封螺母开裂,盒体锁扣设计不当,旁路二极管短路,密封圈橡胶材料选择不当,,,,C,,已初审,,否
PV-057,选择判断题,57,单选题,single,单选题,在光伏组串输出偏低的故障分析中，最常用的初步判断方法是( ),对每块组件进行EL检测,对比相同子阵相同支路数的汇流箱输出功率和电流,测量接地电阻,检查逆变器的IGBT模块,,,,B,,已初审,,否
PV-058,选择判断题,58,单选题,single,单选题,关于光伏组件隐裂对输出参数的影响，正确的是( ),输出电压明显降低，电流基本不变,输出电压和电流均明显降低,输出电压无明显变化，输出电流明显降低,输出电压和电流均无明显变化,,,,C,,已初审,,否
PV-059,选择判断题,59,单选题,single,单选题,以下哪项措施不能有效防止光伏组件热斑效应( ),在组件正负极并联旁路二极管,使用性能一致性好的电池片,增加组件边框接地电阻,避免组件被遮挡,,,,C,,已初审,,否
PV-060,选择判断题,60,单选题,single,单选题,关于光伏逆变器的功能，下列说法错误的是?,将直流电转换为交流电,检测光伏组件和电网状况,直接调节光伏组件的倾角,完成系统绝缘检测,,,,C,,已初审,,否
PV-061,选择判断题,61,单选题,single,单选题,逆变器不并网故障时，首选的检测工具和测量对象是?,钳形电流表测量直流输入电流,万用表测量逆变器交流输出电压,绝缘电阻表测量对地绝缘电阻,示波器观察PWM波形,,,,B,,已初审,,否
PV-062,选择判断题,62,单选题,single,单选题,直流过电压报警最可能的原因是?,光伏组件串联数量过多,光伏组件并联数量过多,交流侧负载突变,逆变器内部电容击穿,,,,A,,已初审,,否
PV-063,选择判断题,63,单选题,single,单选题,在电网欠电压故障中，若出现单独一相电压过低，除了负载分配不均外，还可能的原因是?,该相电网掉电或断路,该相电压采样电阻变大,逆变器内部继电器粘连,直流侧对地短路,,,,A,,已初审,,否
PV-064,选择判断题,64,单选题,single,单选题,关于孤岛保护，逆变器应在电网供电中断后多长时间内停止向电网供电?,0.5秒,1秒,2秒,5秒,,,,C,,已初审,,否
PV-065,选择判断题,65,单选题,single,单选题,阿拉尔电站二期逆变器IGBT模块反复烧毁，经分析主要原因是?,模块选型电流过小,风道设计导致驱动板积灰受潮腐蚀,电网频率波动过大,直流过电压保护设定错误,,,,B,,已初审,,否
PV-066,选择判断题,66,单选题,single,单选题,在孤岛保护故障排查中，现场测量交流侧电压正常，电压采样板输出正常，转接板输出不正常，则可判断故障点位于?,交流接触器,电压采样板,转接板,IGBT模块,,,,C,,已初审,,否
PV-067,选择判断题,67,单选题,single,单选题,在漏电流故障中，下列哪项不是常见原因?,低质量的直流接头,光伏组件安装高度不足,逆变器输出交流频率过高,并网设备进水,,,,C,,已初审,,否
PV-068,选择判断题,68,单选题,single,单选题,关于万能断路器不能合闸的原因，下列哪项描述是错误的?,控制回路故障,智能脱扣器动作后，红色按钮未复位,储能机构已储能,脱扣器未复位,,,,C,,已初审,,否
PV-069,选择判断题,69,单选题,single,单选题,塑壳断路器不能合闸，若原因是“机构脱扣后没有复位”，正确的处理方法是?,直接手动储能,查明脱扣原因并排除故障后复位,更换断路器,短接欠电压线圈,,,,B,,已初审,,否
PV-070,选择判断题,70,单选题,single,单选题,变压器绕组故障中，出现频率最高的故障类型是?,绕组接地,相间短路,匝间短路,引线断线,,,,C,,已初审,,否
PV-071,选择判断题,71,单选题,single,单选题,变压器发生“相间短路”的主要原因通常与下列哪项有关?,雷电过电压,变压器油受潮,检修或组装过程中的不当操作,长期过负荷运行,,,,C,,已初审,,否
PV-072,选择判断题,72,单选题,single,单选题,变压器套管表面积垢后，在箱变水汽重时容易发生?,匝间短路,污闪，导致单相接地或相间短路,铁心两点接地,分接开关放电,,,,B,,已初审,,否
PV-073,选择判断题,73,单选题,single,单选题,变压器发出“吱吱”或“噼啪”声，通常表示?,过载运行,内部夹件松动,局部放电,绕组短路,,,,C,,已初审,,否
PV-074,选择判断题,74,单选题,single,单选题,变压器温度异常升高，下列哪项不是常见原因?,匝间短路,铁心局部短路,散热条件改善,长期过负荷运行,,,,C,,已初审,,否
PV-075,选择判断题,75,单选题,single,单选题,当电压互感器高压保险熔断时，下列哪项现象不会出现?,熔断相电压降低但不为零,其他两相电压保持正常或稍低,二次回路出现零序电压,熔断相电压为零,,,,D,,已初审,,否
PV-076,选择判断题,76,单选题,single,单选题,在金属性接地故障中，故障相电压和非故障相电压的变化规律是?,故障相电压升高，非故障相电压降低,故障相电压为零或接近零，非故障相电压上升为线电压,故障相电压降低，非故障相电压升高但低于线电压,三相电压均不变,,,,B,,已初审,,否
PV-077,选择判断题,77,单选题,single,单选题,下列哪一项不属于电缆闪络故障的常见发生部位?,电缆终端,中间接头,电缆导体内部,预防性耐压试验时,,,,C,,已初审,,否
PV-078,选择判断题,78,单选题,single,单选题,8. 对于三芯电缆一芯或两芯接地，当绝缘电阻值高于多少Ω时被称为高电阻接地故障?,100Ω,500Ω,1000Ω,5000Ω,,,,C,,已初审,,否
PV-079,选择判断题,79,单选题,single,单选题,对于直流侧电缆绝缘电阻，依据GB 50217，用1000V兆欧表摇测时，绝缘电阻值不应低于（ ）。,1MΩ,5MΩ,10MΩ,35MΩ,,,,B,,需人工核对,GB 50217 直流侧电缆绝缘电阻题，按常见题库口径暂取 5MΩ，建议核对课件。,否
PV-080,选择判断题,80,单选题,single,单选题,18.某电站35kV开关柜内单芯电缆与零序CT感应放电，最有效的解决措施是（ ）。,更换更大容量熔断器,拆除零序CT或将三相电缆分开安装,增加电缆长度,更换为单芯铠装电缆且不改变安装方式,,,,B,,已初审,,否
PV-081,选择判断题,81,多选题,multiple,多选题,光伏电站按装机容量可以分为哪些类型?,小型光伏电站,中型光伏电站,大型光伏电站,微型光伏电站,,,,ABC,,已初审,,否
PV-082,选择判断题,82,多选题,multiple,多选题,并网光伏电站的系统构成包括哪些部分?,光伏阵列,直流汇流箱,并网逆变器,蓄电池,,,,ABC,,已初审,,否
PV-083,选择判断题,83,多选题,multiple,多选题,离网光伏电站的主要组成部分包括?,光伏组件,控制器,蓄电池,电网,,,,ABC,,已初审,,否
PV-084,选择判断题,84,多选题,multiple,多选题,大型荒漠地面光伏电站的特点包括?,地势平坦,组件朝向一致,多采用组串式逆变器,接入高压电网,,,,ABD,,已初审,,否
PV-085,选择判断题,85,多选题,multiple,多选题,分布式光伏电站的优点包括?,投资小,建设快,占地面积大,减少线路损耗,,,,ABD,,已初审,,否
PV-086,选择判断题,86,多选题,multiple,多选题,光伏电站接入电网的电压等级可以分为?,低压,中压,高压,超高压,,,,ABCD,,已初审,,否
PV-087,选择判断题,87,多选题,multiple,多选题,大型山丘光伏电站的挑战包括?,组件朝向不一致,阴影遮挡,地质灾害风险,电网不稳定,,,,ABC,,已初审,,否
PV-088,选择判断题,88,多选题,multiple,多选题,光伏电站的运维管理包括哪些内容?,巡检维护,定检维护,设备更换,运行管理,,,,ABCD,,已初审,,否
PV-089,选择判断题,89,多选题,multiple,多选题,光伏电站的接入方式包括?,专线接入,T接接入,直接接入低压电网,无线接入,,,,ABC,,已初审,,否
PV-090,选择判断题,90,多选题,multiple,多选题,下列哪些属于触电事故的常见原因?,缺乏用电常识,设备绝缘良好,高压线路落地引起跨步电压,检修中安全措施不完善,,,,ACD,,已初审,,否
PV-091,选择判断题,91,多选题,multiple,多选题,停电工作中应采取的安全技术措施包括?,切断电源,验电,装设临时接地线,使用绝缘工具带电作业,,,,ABC,,已初审,,否
PV-092,选择判断题,92,多选题,multiple,多选题,下列哪些属于电伤的表现形式?,灼伤,心脏停止跳动,皮肤金属化,肌肉抽搐,,,,AC,,已初审,,否
PV-093,选择判断题,93,多选题,multiple,多选题,在带电工作中，以下做法正确的是?,使用合格绝缘手柄工具,穿绝缘鞋、戴绝缘手套,同时接触两根相线以加快操作,站在干燥绝缘物体上,,,,ABD,,已初审,,否
PV-094,选择判断题,94,多选题,multiple,多选题,以下哪些是防止触电的通用安全措施?,电气设备外壳接地或接零,采用安全电压,定期检查用电设备,不使用屏护装置,,,,ABC,,已初审,,否
PV-095,选择判断题,95,多选题,multiple,多选题,光伏组件的电气参数包括以下哪些?,开路电压,短路电流,峰值功率,额定频率,,,,ABC,,已初审,,否
PV-096,选择判断题,96,多选题,multiple,多选题,影响光伏组件输出特性的主要因素有?,负载阻抗,日照强度,组件温度,电网频率,,,,ABC,,已初审,,否
PV-097,选择判断题,97,多选题,multiple,多选题,光伏方阵的安装方式包括?,固定式,单轴跟踪式,双轴跟踪式,悬浮式,,,,ABC,,已初审,,否
PV-098,选择判断题,98,多选题,multiple,多选题,光伏组件选型时需要考虑的原则有?,电压应在逆变器MPPT范围内,开路电压不得超过逆变器最高输入电压,功率越大越好,组件颜色需一致,,,,AB,,已初审,,否
PV-100,选择判断题,100,多选题,multiple,多选题,倒闸操作必须执行的要求有（）,两人执行，一人监护,监护人不得代替操作,操作中可随意换人,操作人员需培训合格,,,,ABD,,已初审,,否
PV-101,选择判断题,101,多选题,multiple,多选题,光伏电站交接班主要内容包括（）,设备运行方式,缺陷与异常情况,安全措施与接地线,工器具与备品备件,,,,ABCD,,已初审,,否
PV-102,选择判断题,102,多选题,multiple,多选题,设备缺陷管理要求，运维人员发现缺陷应（）,小缺陷及时处理,重大缺陷立即汇报,缺陷消除前加强监视,无需记录，直接处理,,,,ABC,,已初审,,否
PV-103,选择判断题,103,多选题,multiple,多选题,光伏电站安全管理包含以下哪些内容（）,安全生产责任制,消防安全管理,应急响应管理,人员培训管理,,,,ABCD,,已初审,,否
PV-104,选择判断题,104,多选题,multiple,多选题,文档与信息管理需建立的档案包括（）,基本技术档案,运行期档案,信息化数据库,人员考勤档案,,,,ABC,,已初审,,否
PV-105,选择判断题,105,多选题,multiple,多选题,光伏电站运行分析内容包括（）,设备运行情况,操作情况,异常情况,气象环境,,,,ABCD,,已初审,,否
PV-106,选择判断题,106,多选题,multiple,多选题,安全生产检查包含（）,交接班检查,周检查,月度检查,春秋季检查,,,,ABCD,,已初审,,否
PV-107,选择判断题,107,多选题,multiple,多选题,光伏电站生产管理内容包括（）。,工作票管理,操作票管理,交接班管理,设备缺陷管理,,,,ABCD,,已初审,,否
PV-108,选择判断题,108,多选题,multiple,多选题,倒闸操作中电气设备的状态有（）。,运行,热备用,冷备用,检修,,,,ABCD,,已初审,,否
PV-109,选择判断题,109,多选题,multiple,多选题,光伏电站常规巡检类型包括（）。,日常巡检,现场巡检,季度巡检,特殊巡检,,,,ABD,,需人工核对,巡检类型题存在企业制度口径差异；暂取日常、现场、特殊巡检。,否
PV-110,选择判断题,110,多选题,multiple,多选题,光伏电站工作票执行过程中，下列说法正确的有（）。,字迹工整清晰，不得任意涂改,复杂作业应附危险点分析及控制单,不合格工作票可直接修改使用,许可前必须核实现场安全措施,,,,ABD,,已初审,,否
PV-111,选择判断题,111,多选题,multiple,多选题,倒闸操作中，必须使用操作票的作业有（）。,复杂倒闸操作,拉合断路器单一操作,事故处理后的善后操作,拉开全场仅有的一组接地线,,,,AC,,需人工核对,操作票使用范围题存在规程口径差异；暂取复杂倒闸操作和事故后善后操作需要操作票。,否
PV-112,选择判断题,112,多选题,multiple,多选题,光伏电站巡检必须遵守的要求有（）。,按时、按路线、按项目执行,缺陷设备应重点巡视,可随意变更巡视路线,恶劣天气应增加巡检次数,,,,ABD,,已初审,,否
PV-113,选择判断题,113,多选题,multiple,多选题,下列属于日巡检设备的是（）。,环境监测仪,逆变器室,光伏组件,箱式变压器室,,,,ABCD,,已初审,,否
PV-114,选择判断题,114,多选题,multiple,多选题,光伏电站调度联系管理要求包括（）。,接令后必须复诵核对,所有通话必须录音,威胁安全时可拒绝执行命令,可拖延执行调度命令,,,,ABC,,已初审,,否
PV-115,选择判断题,115,多选题,multiple,多选题,光伏组件定检内容包括（）。,玻璃有无开裂、破损,组件直接拆卸清洗,电池片有无隐裂、热斑,MC4 插头是否松动,,,,ACD,,已初审,,否
PV-116,选择判断题,116,多选题,multiple,多选题,汇流箱定检时需要进行的项目有（）。,支路温度测量,箱体整体更换,避雷器状态检查,支路电压测量,,,,ACD,,已初审,,否
PV-117,选择判断题,117,多选题,multiple,多选题,变压器定检中属于维护内容的是（）。,绕组直接重绕,更换变色硅胶,检查油位、油温,绝缘电阻测试,,,,BCD,,已初审,,否
PV-118,选择判断题,118,多选题,multiple,多选题,设备缺陷管理的正确做法是（）。,及时发现并记录,紧急缺陷立即上报,缺陷消除前加强监视,小缺陷可长期不处理,,,,ABC,,已初审,,否
PV-119,选择判断题,119,多选题,multiple,多选题,属于光伏电站安全设施的有（）。,办公电脑、打印机,绝缘垫、绝缘靴,安全警示牌、遮栏,灭火器、消防沙箱,,,,BCD,,已初审,,否
PV-120,选择判断题,120,多选题,multiple,多选题,下列属于定期维护内容的是（）。,箱变除尘,设备随意拆卸,逆变器除尘,光伏组件清洁,,,,ACD,,已初审,,否
PV-121,选择判断题,121,多选题,multiple,多选题,智能营维云中心核心功能包括（）,多电站集中接入管理,大数据分析与损耗定位,现场设备直接维修,多维度报表输出,,,,ABD,,已初审,,否
PV-122,选择判断题,122,多选题,multiple,多选题,生产管理系统中，未处理告警可执行的操作有（）,转工作票,直接报废设备,转缺陷,清除告警,,,,ACD,,需人工核对,未处理告警操作是否允许“清除告警”取决于系统规则；暂保留 A/C/D。,否
PV-123,选择判断题,123,多选题,multiple,多选题,影响光伏电站系统效率 PR 值的关键因素包括（）,组件灰尘遮挡,温度损耗,组件不匹配损耗,运维人员数量,,,,ABC,,已初审,,否
PV-124,选择判断题,124,多选题,multiple,多选题,下列哪些因素可能导致光伏组件电池片隐裂( ),运输过程中的剧烈振动,组件受力不均匀,组件表面积灰,雪压过大,,,,ABD,,已初审,,否
PV-125,选择判断题,125,多选题,multiple,多选题,以下哪些属于光伏组件烧坏故障的表现( ),互联条接头处烧坏,正面电极被烧坏,背面被烧穿,接线盒密封圈老化,,,,ABC,,已初审,,否
PV-126,选择判断题,126,多选题,multiple,多选题,关于光伏组件接线盒的质量改进建议，下列哪些是正确的( ),盒体、盒盖采用压接一体式密封处理,预留扩展连接座以便更换不同规格二极管,盒盖设置导气阀或内部增加散热片,取消密封圈，完全使用灌封胶,,,,ABC,,已初审,,否
PV-127,选择判断题,127,多选题,multiple,多选题,以下哪些措施可以降低光伏组件PID现象的发生风险( ),减少水汽进入组件,提高EVA的抗水解能力,增加组件对地正偏压,使用抗PID的玻璃或封装材料,,,,ABD,,需人工核对,PID 防范中‘组件对地正偏压’表述易混；本版按降低水汽、提高 EVA 抗水解、抗 PID 材料处理。,否
PV-128,选择判断题,128,多选题,multiple,多选题,逆变器不并网的可能原因包括?,交流开关没有合上,逆变器交流输出端子接线松动,直流输入电压过低,漏电保护开关断开,,,,ABCD,,已初审,,否
PV-129,选择判断题,129,多选题,multiple,多选题,孤岛保护故障可能由下列哪些因素引起?,箱变低压侧断路器跳闸,电压采样板故障,转接板故障,光伏组件被遮挡,,,,ABC,,已初审,,否
PV-130,选择判断题,130,多选题,multiple,多选题,万能断路器不能合闸的常见原因包括?,控制回路故障,智能脱扣器动作后红色按钮未复位,储能机构未储能,储能机构储能未到位,,,,ABCD,,已初审,,否
PV-131,选择判断题,131,多选题,multiple,多选题,变压器绕组故障中，可能引发的原因有?,匝绝缘损坏,操作过电压使绕组变形,导线内部焊接不良,变压器油位过高,,,,ABC,,已初审,,否
PV-132,选择判断题,132,多选题,multiple,多选题,关于变压器分接开关故障，下列说法正确的有?,油箱上有放电声，电流表摆动,接触电阻增大会烧伤分接头,分接位置切换错误会导致三相电压不平衡,分接开关故障不会影响瓦斯保护,,,,ABC,,已初审,,否
PV-133,选择判断题,133,多选题,multiple,多选题,变压器声音异常的可能原因包括?,电网发生中性点不接地单相接地,变压器过载运行,内部夹件或螺钉松动,油位正常但油温降低,,,,ABC,,已初审,,否
PV-134,选择判断题,134,多选题,multiple,多选题,关于线路接地故障，下列说法正确的有?,金属性接地时故障相电压为零,非金属性接地时电压表显示不停摆动,单相接地分为金属性和非金属性两种,线路一相断线并单相接地时，三相电压不变,,,,ABC,,已初审,,否
PV-135,选择判断题,135,多选题,multiple,多选题,电缆故障中外力损坏的类型包括?,施工机械牵引力过大拉断电缆,电缆过度弯曲损坏绝缘层,电缆切剥时刀痕太深,电缆长期过负荷运行,,,,ABC,,已初审,,否
PV-136,选择判断题,136,多选题,multiple,多选题,关于电缆三相芯线短路故障，下列说法正确的有?,接地电阻低于1000Ω为低阻短路故障,接地电阻高于1000Ω为高阻短路故障,高阻短路故障比低阻故障更常见,短路故障只有低阻一种类型,,,,AB,,已初审,,否
PV-137,选择判断题,137,多选题,multiple,多选题,针对光伏电站电缆故障，日常巡视检查可采用的方法有（ ）。,红外热成像测温,超声波局部放电测试,夜间熄灯检查,绝缘电阻测试,,,,ABCD,,需人工核对,电缆故障巡视检测方法题将绝缘电阻测试也纳入，需按课程口径确认。,否
PV-138,选择判断题,138,判断题,judge,判断题,离网光伏电站必须与电网连接才能运行。,对,错,,,,,,错误,,已初审,,否
PV-139,选择判断题,139,判断题,judge,判断题,光伏组件的寿命较长，可以长期使用。,对,错,,,,,,正确,,已初审,,否
